PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Aaron Jackson	HOU	32	1	4	25.0	1	1	100	0	0	0.0	0	0	0.0	1	2	50.0	0	2	0.0
Bobby Brown	HOU	33	4	7	57.1	0	2	0.0	2	5	40.0	1	2	50.0	4	7	57.1	8	32	25.0
Brandan Wright	HOU	30	2	3	66.7	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Briante Weber	MEM	25	4	6	66.7	1	6	16.7	0	0	0.0	0	1	0.0	1	2	50.0	3	7	42.9
Chinanu Onuaku	HOU	21	1	3	33.3	1	1	100	0	0	0.0	0	1	0.0	0	0	0.0	0	0	0.0
Chris Paul	HOU	33	58	94	61.7	28	63	44.4	67	140	47.9	65	112	58.0	54	116	46.6	94	260	36.2
Clint Capela	HOU	24	415	604	68.7	20	59	33.9	5	9	55.6	1	3	33.3	0	0	0.0	0	1	0.0
Demetrius Jackson	PHI	23	4	8	50.0	0	0	0.0	0	0	0.0	0	0	0.0	0	2	0.0	0	4	0.0
Eric Gordon	HOU	29	167	266	62.8	16	49	32.7	7	24	29.2	3	11	27.3	56	142	39.4	158	451	35.0
Gerald Green	HOU	32	29	54	53.7	5	11	45.5	12	24	50.0	10	20	50.0	42	123	34.1	69	176	39.2
Isaiah Canaan	PHX	27	0	0	0.0	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
James Harden	HOU	28	288	474	60.8	32	93	34.4	33	81	40.7	29	67	43.3	65	154	42.2	203	561	36.2
Joe Johnson	HOU	37	10	15	66.7	9	23	39.1	10	19	52.6	4	12	33.3	12	33	36.4	6	30	20.0
Luc Mbah a Moute	HOU	31	99	159	62.3	4	6	66.7	0	0	0.0	0	3	0.0	39	111	35.1	24	66	36.4
Markel Brown	HOU	26	0	1	0.0	0	0	0.0	1	1	100	0	0	0.0	1	3	33.3	0	2	0.0
Nene	HOU	35	108	175	61.7	12	23	52.2	6	16	37.5	10	21	47.6	0	4	0.0	0	0	0.0
P.J. Tucker	HOU	33	43	79	54.4	5	21	23.8	1	5	20.0	2	6	33.3	102	253	40.3	19	77	24.7
RJ Hunter	HOU	24	3	5	60.0	0	0	0.0	0	0	0.0	1	1	100	1	4	25.0	1	9	11.1
Ryan Anderson	HOU	30	46	78	59.0	1	11	9.1	7	13	53.8	17	30	56.7	32	78	41.0	99	250	39.6
Tarik Black	HOU	26	71	105	67.6	3	8	37.5	0	0	0.0	0	2	0.0	1	4	25.0	0	7	0.0
Tim Quarterman	HOU	23	0	0	0.0	1	1	100	0	0	0.0	0	0	0.0	0	0	0.0	0	2	0.0
Trevor Ariza	HOU	33	96	163	58.9	1	14	7.1	0	5	0.0	1	5	20.0	108	263	41.1	62	197	31.5
Troy Williams	NYK	23	1	2	50.0	0	0	0.0	0	1	0.0	0	0	0.0	1	1	100	0	5	0.0
Zhou Qi	HOU	22	3	7	42.9	1	3	33.3	0	3	0.0	0	0	0.0	2	4	50.0	0	14	0.0
