PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Andre Iguodala	GSW	38	26	35	74.3	1	4	25.0	0	3	0.0	2	3	66.7	9	36	25.0	8	36	22.2
Andrew Wiggins	GSW	27	178	263	67.7	63	148	42.6	31	81	38.3	37	105	35.2	75	176	42.6	91	245	37.1
Chris Chiozza	GSW	26	3	15	20.0	2	5	40.0	0	4	0.0	2	4	50.0	6	19	31.6	10	31	32.3
Damion Lee	GSW	29	72	90	80.0	12	38	31.6	12	32	37.5	6	22	27.3	31	102	30.4	36	97	37.1
Draymond Green	GSW	32	92	131	70.2	20	47	42.6	4	12	33.3	2	8	25.0	6	23	26.1	11	32	34.4
Gary Payton II	GSW	29	155	198	78.3	13	23	56.5	0	1	0.0	1	2	50.0	31	75	41.3	12	44	27.3
Jeff Dowtin Jr.	ORL	25	1	1	100	0	1	0.0	1	1	100	1	2	50.0	0	1	0.0	0	0	0.0
Jonathan Kuminga	GSW	19	161	227	70.9	15	57	26.3	6	18	33.3	4	8	50.0	23	69	33.3	27	78	34.6
Jordan Poole	GSW	23	162	255	63.5	41	88	46.6	28	59	47.5	29	68	42.6	57	148	38.5	150	404	37.1
Juan Toscano-Anderson	GSW	29	74	118	62.7	12	24	50.0	0	3	0.0	0	1	0.0	10	37	27.0	19	50	38.0
Kevon Looney	GSW	26	186	275	67.6	9	34	26.5	6	19	31.6	7	32	21.9	0	4	0.0	0	0	0.0
Klay Thompson	GSW	32	49	72	68.1	13	38	34.2	29	74	39.2	30	75	40.0	42	97	43.3	83	211	39.3
Moses Moody	GSW	20	29	47	61.7	3	7	42.9	6	9	66.7	2	8	25.0	16	55	29.1	24	57	42.1
Nemanja Bjelica	GSW	34	82	131	62.6	17	47	36.2	1	5	20.0	5	9	55.6	11	26	42.3	42	117	35.9
Otto Porter Jr.	GSW	29	68	99	68.7	18	37	48.6	13	29	44.8	11	29	37.9	31	87	35.6	52	133	39.1
Quinndary Weatherspoon	GSW	25	11	15	73.3	0	0	0.0	0	1	0.0	0	0	0.0	0	1	0.0	1	4	25.0
Stephen Curry	GSW	34	139	231	60.2	36	79	45.6	32	63	50.8	35	77	45.5	53	150	35.3	219	535	40.9
