PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Boban Marjanovic	DAL	33	1	2	50.0	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Bobby Portis	MIL	27	15	27	55.6	7	14	50.0	5	12	41.7	6	12	50.0	8	22	36.4	7	27	25.9
Bogdan Bogdanovic	ATL	29	5	8	62.5	1	4	25.0	3	8	37.5	0	1	0.0	6	14	42.9	5	14	35.7
Bojan Bogdanovic	UTA	33	10	18	55.6	8	15	53.3	7	12	58.3	3	3	100	4	20	20.0	7	13	53.8
Bones Hyland	DEN	21	3	4	75.0	2	6	33.3	0	1	0.0	0	2	0.0	2	5	40.0	4	15	26.7
Brandon Clarke	MEM	25	41	53	77.4	11	31	35.5	4	6	66.7	0	0	0.0	0	1	0.0	0	0	0.0
Brandon Ingram	NOP	24	18	25	72.0	1	13	7.7	14	25	56.0	12	25	48.0	4	7	57.1	7	22	31.8
Brook Lopez	MIL	34	35	44	79.5	4	16	25.0	3	9	33.3	2	5	40.0	1	8	12.5	5	19	26.3
Bruce Brown	BKN	25	10	13	76.9	2	4	50.0	3	5	60.0	0	1	0.0	5	9	55.6	1	5	20.0
Bryn Forbes	DEN	28	0	0	0.0	0	2	0.0	0	0	0.0	2	2	100	2	3	66.7	2	6	33.3
CJ McCollum	NOP	30	13	22	59.1	3	10	30.0	6	19	31.6	10	22	45.5	2	8	25.0	15	44	34.1
Caleb Martin	MIA	26	20	34	58.8	1	2	50.0	1	6	16.7	0	1	0.0	6	24	25.0	4	13	30.8
Cam Thomas	BKN	20	0	0	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cameron Johnson	PHX	26	15	21	71.4	5	7	71.4	0	6	0.0	4	5	80.0	11	29	37.9	11	31	35.5
Cameron Payne	PHX	27	9	23	39.1	1	9	11.1	4	8	50.0	3	4	75.0	0	4	0.0	5	26	19.2
Charles Bassey	PHI	21	1	2	50.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Chris Boucher	TOR	29	19	23	82.6	1	2	50.0	0	1	0.0	0	0	0.0	4	8	50.0	2	8	25.0
Chris Paul	PHX	37	9	12	75.0	18	28	64.3	17	33	51.5	23	32	71.9	8	11	72.7	12	36	33.3
Clint Capela	ATL	28	1	4	25.0	1	2	50.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Coby White	CHI	22	4	5	80.0	1	3	33.3	0	1	0.0	2	7	28.6	1	5	20.0	7	23	30.4
D'Angelo Russell	MIN	26	7	14	50.0	1	7	14.3	3	11	27.3	1	6	16.7	5	17	29.4	7	17	41.2
Dalano Banton	TOR	22	2	2	100	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Damion Lee	GSW	29	6	6	100	1	5	20.0	1	3	33.3	0	3	0.0	2	7	28.6	3	9	33.3
Daniel Theis	BOS	30	20	22	90.9	5	8	62.5	1	5	20.0	1	2	50.0	2	8	25.0	1	6	16.7
Danilo Gallinari	ATL	33	6	6	100	2	5	40.0	3	6	50.0	2	9	22.2	2	9	22.2	3	10	30.0
Danny Green	PHI	35	5	9	55.6	0	2	0.0	0	1	0.0	0	1	0.0	24	55	43.6	7	19	36.8
Danuel House Jr.	UTA	29	5	8	62.5	2	3	66.7	0	0	0.0	0	1	0.0	2	8	25.0	0	1	0.0
Davis Bertans	DAL	29	2	3	66.7	0	0	0.0	1	1	100	0	0	0.0	10	20	50.0	9	30	30.0
Day'Ron Sharpe	BKN	20	0	0	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
De'Andre Hunter	ATL	24	9	12	75.0	4	8	50.0	10	13	76.9	2	8	25.0	11	19	57.9	3	10	30.0
De'Anthony Melton	MEM	24	7	9	77.8	3	8	37.5	0	1	0.0	0	1	0.0	4	15	26.7	7	31	22.6
DeAndre Jordan	PHI	33	5	5	100	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
DeMar DeRozan	CHI	32	8	14	57.1	4	8	50.0	3	16	18.8	21	40	52.5	3	13	23.1	0	4	0.0
DeMarcus Cousins	DEN	31	7	7	100	6	11	54.5	1	3	33.3	1	2	50.0	0	0	0.0	4	6	66.7
Deandre Ayton	PHX	23	52	66	78.8	22	41	53.7	20	38	52.6	8	14	57.1	1	2	50.0	2	3	66.7
