PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Aaron Gordon	DEN	26	13	18	72.2	5	12	41.7	2	5	40.0	0	3	0.0	3	9	33.3	0	7	0.0
Aaron Holiday	PHX	25	2	4	50.0	1	2	50.0	0	1	0.0	0	0	0.0	0	1	0.0	5	6	83.3
Aaron Nesmith	BOS	22	1	3	33.3	1	1	100	0	0	0.0	1	2	50.0	0	3	0.0	1	8	12.5
Al Horford	BOS	36	32	48	66.7	7	25	28.0	8	13	61.5	7	8	87.5	22	48	45.8	25	51	49.0
Alex Caruso	CHI	28	2	4	50.0	0	0	0.0	0	1	0.0	0	0	0.0	3	10	30.0	4	8	50.0
Andre Drummond	BKN	28	5	10	50.0	1	1	100	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Andre Iguodala	GSW	38	2	2	100	0	0	0.0	0	0	0.0	1	4	25.0	0	0	0.0	1	3	33.3
Andrew Wiggins	GSW	27	62	90	68.9	25	60	41.7	9	19	47.4	9	25	36.0	13	41	31.7	25	69	36.2
Anthony Edwards	MIN	20	16	30	53.3	3	8	37.5	2	5	40.0	3	4	75.0	13	32	40.6	13	31	41.9
Armoni Brooks	TOR	24	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	1	0.0	0	3	0.0
Austin Rivers	DEN	29	1	1	100	3	5	60.0	0	0	0.0	0	0	0.0	2	7	28.6	2	4	50.0
Ayo Dosunmu	CHI	22	2	4	50.0	0	1	0.0	3	5	60.0	0	3	0.0	3	7	42.9	0	6	0.0
Bam Adebayo	MIA	24	68	91	74.7	21	33	63.6	10	32	31.3	4	17	23.5	1	1	100	0	0	0.0
Bismack Biyombo	PHX	29	9	13	69.2	2	2	100	0	2	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Blake Griffin	BKN	33	0	2	0.0	0	0	0.0	0	0	0.0	0	0	0.0	1	2	50.0	1	3	33.3
