PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Aaron Gordon	ORL	24	190	288	66.0	22	60	36.7	33	101	32.7	13	66	19.7	26	87	29.9	51	157	32.5
Aaron Holiday	IND	23	85	165	51.5	17	56	30.4	18	47	38.3	21	61	34.4	34	79	43.0	58	151	38.4
Abdel Nader	OKC	26	58	91	63.7	9	23	39.1	4	10	40.0	4	10	40.0	20	49	40.8	28	80	35.0
Adam Mokoka	CHI	21	6	12	50.0	0	0	0.0	0	0	0.0	0	1	0.0	3	8	37.5	3	7	42.9
Admiral Schofield	WAS	23	10	20	50.0	2	4	50.0	3	5	60.0	1	2	50.0	11	29	37.9	8	31	25.8
Al Horford	PHI	34	115	175	65.7	33	84	39.3	28	68	41.2	32	69	46.4	29	86	33.7	82	227	36.1
Al-Farouq Aminu	ORL	29	12	35	34.3	2	9	22.2	0	0	0.0	2	3	66.7	5	19	26.3	4	20	20.0
Alec Burks	PHI	28	107	214	50.0	23	65	35.4	34	87	39.1	26	65	40.0	49	117	41.9	80	211	37.9
Alen Smailagic	GSW	19	14	17	82.4	2	6	33.3	0	2	0.0	1	2	50.0	1	7	14.3	2	6	33.3
Alex Caruso	LAL	26	71	117	60.7	3	18	16.7	1	14	7.1	5	19	26.3	16	51	31.4	24	71	33.8
Alex Len	SAC	27	130	196	66.3	24	44	54.5	6	15	40.0	1	5	20.0	11	32	34.4	5	26	19.2
Alfonzo McKinnie	CLE	27	46	75	61.3	9	17	52.9	3	6	50.0	1	7	14.3	9	40	22.5	5	26	19.2
Alize Johnson	IND	24	8	15	53.3	1	4	25.0	0	2	0.0	0	0	0.0	3	6	50.0	0	2	0.0
Allen Crabbe	MIN	28	12	20	60.0	2	7	28.6	7	16	43.8	4	10	40.0	19	52	36.5	19	70	27.1
Allonzo Trier	NYK	24	15	24	62.5	1	4	25.0	3	5	60.0	10	15	66.7	7	16	43.8	15	42	35.7
Amile Jefferson	ORL	27	3	8	37.5	1	3	33.3	1	2	50.0	0	1	0.0	0	0	0.0	0	0	0.0
Amir Coffey	LAC	23	10	20	50.0	2	5	40.0	4	6	66.7	1	4	25.0	5	9	55.6	1	10	10.0
Andre Drummond	CLE	26	356	584	61.0	53	140	37.9	3	17	17.6	1	6	16.7	3	12	25.0	2	22	9.1
Andre Iguodala	MIA	36	19	26	73.1	0	3	0.0	1	6	16.7	3	4	75.0	11	34	32.4	4	14	28.6
Andre Roberson	OKC	28	5	12	41.7	0	2	0.0	0	1	0.0	0	0	0.0	0	5	0.0	3	8	37.5
Andrew Wiggins	GSW	25	208	322	64.6	54	130	41.5	27	88	30.7	23	66	34.8	48	134	35.8	76	232	32.8
Anfernee Simons	POR	21	75	135	55.6	14	48	29.2	17	48	35.4	28	64	43.8	37	95	38.9	43	141	30.5
Ante Zizic	CLE	23	31	51	60.8	4	12	33.3	5	6	83.3	1	3	33.3	0	0	0.0	0	0	0.0
Anthony Davis	LAL	27	322	455	70.8	40	109	36.7	64	141	45.4	44	144	30.6	38	94	40.4	43	148	29.1
Anthony Tolliver	MEM	35	10	25	40.0	2	6	33.3	1	2	50.0	1	2	50.0	24	57	42.1	27	87	31.0
Antonius Cleveland	DAL	26	3	8	37.5	1	1	100	0	1	0.0	0	1	0.0	0	1	0.0	0	2	0.0
Anzejs Pasecniks	WAS	24	49	69	71.0	9	27	33.3	2	9	22.2	1	8	12.5	0	0	0.0	0	3	0.0
Aron Baynes	PHX	33	97	157	61.8	20	34	58.8	6	14	42.9	1	6	16.7	20	55	36.4	39	115	33.9
Austin Rivers	HOU	27	93	168	55.4	18	49	36.7	2	11	18.2	1	2	50.0	35	83	42.2	62	187	33.2
Avery Bradley	LAL	29	48	80	60.0	9	20	45.0	9	23	39.1	36	74	48.6	39	112	34.8	29	73	39.7
BJ Johnson	ORL	24	4	11	36.4	0	0	0.0	1	4	25.0	1	6	16.7	2	8	25.0	1	3	33.3
Bam Adebayo	MIA	22	326	480	67.9	55	137	40.1	45	101	44.6	11	53	20.8	2	13	15.4	1	4	25.0
Ben McLemore	HOU	27	58	86	67.4	1	5	20.0	2	2	100	0	0	0.0	82	181	45.3	99	265	37.4
