PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Ben Simmons	PHI	23	329	501	65.7	40	109	36.7	3	24	12.5	1	5	20.0	2	4	50.0	0	1	0.0
Bismack Biyombo	CHA	27	136	208	65.4	10	49	20.4	4	15	26.7	1	6	16.7	0	0	0.0	0	0	0.0
Blake Griffin	DET	31	55	107	51.4	3	15	20.0	2	8	25.0	1	6	16.7	8	41	19.5	18	72	25.0
Boban Marjanovic	DAL	31	85	113	75.2	22	52	42.3	6	20	30.0	4	8	50.0	2	3	66.7	2	15	13.3
Bobby Portis	NYK	25	95	166	57.2	42	83	50.6	25	60	41.7	20	57	35.1	40	106	37.7	43	116	37.1
Bogdan Bogdanovic	SAC	27	74	127	58.3	34	64	53.1	27	64	42.2	27	48	56.3	70	176	39.8	104	281	37.0
Bojan Bogdanovic	UTA	31	151	256	59.0	45	119	37.8	21	65	32.3	11	34	32.4	91	217	41.9	98	240	40.8
Bol Bol	DEN	20	8	10	80.0	1	3	33.3	1	4	25.0	0	2	0.0	1	6	16.7	3	3	100
Brad Wanamaker	BOS	30	86	145	59.3	11	47	23.4	11	26	42.3	7	22	31.8	18	37	48.6	29	85	34.1
Bradley Beal	WAS	27	251	393	63.9	37	104	35.6	62	137	45.3	62	155	40.0	52	148	35.1	128	358	35.8
Brandon Clarke	MEM	23	188	257	73.2	36	68	52.9	41	70	58.6	6	15	40.0	13	37	35.1	12	32	37.5
Brandon Goodwin	ATL	24	29	51	56.9	9	23	39.1	7	17	41.2	3	9	33.3	8	32	25.0	20	56	35.7
Brandon Ingram	NOP	22	198	326	60.7	32	85	37.6	63	152	41.4	56	129	43.4	82	187	43.9	76	213	35.7
Brandon Knight	DET	28	4	12	33.3	3	10	30.0	7	12	58.3	0	1	0.0	9	32	28.1	35	98	35.7
Brian Bowen II	IND	21	2	5	40.0	1	1	100	0	1	0.0	0	0	0.0	0	3	0.0	0	0	0.0
Brook Lopez	MIL	32	119	178	66.9	39	97	40.2	28	60	46.7	3	8	37.5	26	85	30.6	76	238	31.9
Bruce Brown	DET	23	128	247	51.8	32	83	38.6	4	16	25.0	0	2	0.0	25	64	39.1	9	34	26.5
