PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Donte DiVincenzo	MIL	23	16	26	61.5	0	0	0.0	0	1	0.0	0	3	0.0	2	8	25.0	5	13	38.5
Ivica Zubac	LAC	23	40	70	57.1	4	6	66.7	0	2	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Jamal Murray	DEN	23	63	101	62.4	7	14	50.0	27	51	52.9	17	43	39.5	15	31	48.4	57	121	47.1
Jaylen Brown	BOS	23	65	99	65.7	7	22	31.8	6	20	30.0	14	22	63.6	25	70	35.7	20	54	37.0
Josh Reaves	DAL	23	1	1	100	0	0	0.0	0	0	0.0	0	1	0.0	0	1	0.0	0	0	0.0
Juwan Morgan	UTA	23	1	2	50.0	0	0	0.0	0	0	0.0	0	0	0.0	2	8	25.0	0	2	0.0
Landry Shamet	LAC	23	8	12	66.7	0	2	0.0	1	1	100	0	2	0.0	12	25	48.0	3	17	17.6
Matisse Thybulle	PHI	23	2	2	100	0	0	0.0	0	1	0.0	0	0	0.0	0	1	0.0	1	3	33.3
P.J. Dozier	DEN	23	5	12	41.7	2	4	50.0	3	4	75.0	2	5	40.0	1	1	100	1	7	14.3
Shake Milton	PHI	23	6	7	85.7	1	2	50.0	2	5	40.0	2	5	40.0	4	5	80.0	6	20	30.0
Terance Mann	LAC	23	1	2	50.0	0	0	0.0	1	1	100	0	0	0.0	0	0	0.0	0	1	0.0
Terence Davis	TOR	23	6	10	60.0	0	0	0.0	0	0	0.0	0	0	0.0	1	7	14.3	7	12	58.3
Wenyen Gabriel	POR	23	5	8	62.5	0	0	0.0	1	1	100	0	0	0.0	2	3	66.7	1	3	33.3
Alize Johnson	IND	24	0	0	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
