PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Talen Horton-Tucker	LAL	19	3	5	60.0	0	0	0.0	1	2	50.0	0	0	0.0	1	2	50.0	1	3	33.3
Bol Bol	DEN	20	1	1	100	0	1	0.0	2	3	66.7	0	0	0.0	0	1	0.0	2	3	66.7
Darius Bazley	OKC	20	2	6	33.3	0	2	0.0	0	0	0.0	0	0	0.0	2	6	33.3	9	17	52.9
Romeo Langford	BOS	20	2	4	50.0	0	2	0.0	1	2	50.0	0	0	0.0	0	0	0.0	1	2	50.0
Tyler Herro	MIA	20	30	59	50.8	5	15	33.3	16	34	47.1	16	34	47.1	21	48	43.8	32	86	37.2
Anfernee Simons	POR	21	0	5	0.0	0	2	0.0	1	1	100	1	3	33.3	2	5	40.0	4	10	40.0
Dzanan Musa	BKN	21	2	4	50.0	0	0	0.0	0	1	0.0	0	0	0.0	0	1	0.0	0	5	0.0
Gary Trent Jr.	POR	21	3	7	42.9	0	2	0.0	0	3	0.0	3	7	42.9	6	13	46.2	4	13	30.8
Grant Williams	BOS	21	5	7	71.4	0	1	0.0	0	1	0.0	0	0	0.0	8	13	61.5	2	4	50.0
Hamidou Diallo	OKC	21	3	4	75.0	0	1	0.0	0	1	0.0	0	0	0.0	1	4	25.0	0	1	0.0
Jaylen Hoard	POR	21	6	11	54.5	0	0	0.0	0	0	0.0	1	1	100	0	0	0.0	0	0	0.0
Luguentz Dort	OKC	21	13	22	59.1	1	3	33.3	0	0	0.0	0	1	0.0	5	24	20.8	8	26	30.8
Luka Doncic	DAL	21	26	39	66.7	14	23	60.9	5	14	35.7	3	7	42.9	1	4	25.0	15	39	38.5
Shai Gilgeous-Alexander	OKC	21	11	25	44.0	7	14	50.0	5	11	45.5	2	3	66.7	4	9	44.4	10	27	37.0
Bam Adebayo	MIA	22	76	116	65.5	24	46	52.2	16	36	44.4	6	18	33.3	2	3	66.7	0	1	0.0
Carsen Edwards	BOS	22	0	0	0.0	0	0	0.0	-	-	-	0	0	0.0	0	0	0.0	0	0	0.0
Chris Clemons	HOU	22	0	0	0.0	0	0	0.0	0	0	0.0	-	-	-	0	1	0.0	2	3	66.7
Donta Hall	BKN	22	1	2	50.0	1	2	50.0	1	1	100	0	0	0.0	0	0	0.0	0	0	0.0
Furkan Korkmaz	PHI	22	0	0	0.0	0	0	0.0	0	1	0.0	0	0	0.0	0	1	0.0	0	5	0.0
Jarrett Allen	BKN	22	9	17	52.9	1	2	50.0	3	4	75.0	1	1	100	0	0	0.0	0	0	0.0
Jayson Tatum	BOS	22	50	91	54.9	14	36	38.9	27	51	52.9	3	18	16.7	9	29	31.0	40	104	38.5
Markelle Fultz	ORL	22	8	15	53.3	1	4	25.0	4	12	33.3	4	9	44.4	5	14	35.7	2	6	33.3
Michael Porter Jr.	DEN	22	35	51	68.6	2	5	40.0	1	4	25.0	5	12	41.7	14	34	41.2	21	57	36.8
Miye Oni	UTA	22	2	2	100	0	0	0.0	0	0	0.0	0	0	0.0	0	2	0.0	1	2	50.0
O.G. Anunoby	TOR	22	19	41	46.3	1	3	33.3	2	2	100	1	1	100	11	27	40.7	6	14	42.9
Rayjon Tucker	UTA	22	0	0	0.0	0	0	0.0	1	1	100	0	1	0.0	0	0	0.0	1	3	33.3
Robert Williams III	BOS	22	21	26	80.8	1	2	50.0	0	0	0.0	1	2	50.0	0	1	0.0	0	0	0.0
Rodions Kurucs	BKN	22	9	10	90.0	0	0	0.0	0	0	0.0	1	1	100	1	1	100	0	8	0.0
Terrance Ferguson	OKC	22	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0.0	1	5	20.0	1	5	20.0
Tony Bradley	UTA	22	2	7	28.6	0	2	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Tremont Waters	BOS	22	0	0	0.0	0	0	0.0	-	-	-	-	-	-	0	1	0.0	0	0	0.0
Tyler Cook	DEN	22	0	0	0.0	0	0	0.0	-	-	-	-	-	-	0	0	0.0	0	0	0.0
Aaron Holiday	IND	23	6	8	75.0	1	2	50.0	1	1	100	0	0	0.0	3	5	60.0	1	5	20.0
Amir Coffey	LAC	23	0	0	0.0	0	0	0.0	0	2	0.0	0	0	0.0	0	1	0.0	0	0	0.0
Derrick Jones Jr.	MIA	23	4	8	50.0	0	0	0.0	0	0	0.0	0	0	0.0	4	6	66.7	0	2	0.0
Donovan Mitchell	UTA	23	33	49	67.3	3	13	23.1	9	14	64.3	4	12	33.3	12	24	50.0	22	45	48.9
