PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Aaron Jackson	HOU	32	2	2	100	0	0	0.0	0	0	0.0	0	0	0.0	0	1	0.0	0	1	0.0
Chinanu Onuaku	HOU	21	0	0	0.0	0	0	0.0	-	-	-	-	-	-	0	0	0.0	0	0	0.0
Chris Paul	HOU	33	25	43	58.1	14	26	53.8	28	56	50.0	14	31	45.2	11	21	52.4	26	78	33.3
Clint Capela	HOU	24	93	134	69.4	2	9	22.2	0	0	0.0	0	1	0.0	0	0	0.0	0	0	0.0
Eric Gordon	HOU	29	29	58	50.0	5	14	35.7	5	8	62.5	2	6	33.3	10	31	32.3	33	102	32.4
Gerald Green	HOU	32	7	14	50.0	1	3	33.3	1	2	50.0	0	1	0.0	14	33	42.4	14	40	35.0
James Harden	HOU	28	75	129	58.1	15	39	38.5	12	23	52.2	3	16	18.8	7	30	23.3	46	146	31.5
Joe Johnson	HOU	37	2	2	100	1	3	33.3	2	5	40.0	1	4	25.0	0	2	0.0	0	1	0.0
Luc Mbah a Moute	HOU	31	6	20	30.0	0	0	0.0	0	0	0.0	0	1	0.0	0	6	0.0	3	9	33.3
Nene	HOU	35	12	18	66.7	0	2	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
P.J. Tucker	HOU	33	13	21	61.9	3	10	30.0	1	2	50.0	0	0	0.0	30	62	48.4	5	13	38.5
Ryan Anderson	HOU	30	1	2	50.0	0	0	0.0	0	1	0.0	0	0	0.0	4	5	80.0	2	11	18.2
Tarik Black	HOU	26	1	4	25.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Trevor Ariza	HOU	33	23	41	56.1	0	6	0.0	1	1	100	0	0	0.0	18	54	33.3	8	37	21.6
Zhou Qi	HOU	22	0	0	0.0	1	1	100	-	-	-	-	-	-	0	0	0.0	0	0	0.0
