PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Jay Scrubb	LAC	20	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Josh Green	DAL	20	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Onyeka Okongwu	ATL	20	12	17	70.6	2	7	28.6	2	3	66.7	1	3	33.3	0	0	0.0	0	0	0.0
Talen Horton-Tucker	LAL	20	4	8	50.0	5	8	62.5	1	2	50.0	0	1	0.0	0	1	0.0	1	3	33.3
Tyrese Maxey	PHI	20	14	26	53.8	4	7	57.1	5	12	41.7	2	7	28.6	2	4	50.0	2	9	22.2
Zeke Nnaji	DEN	20	1	1	100	0	0	0.0	0	0	0.0	0	0	0.0	2	4	50.0	1	3	33.3
Aaron Nesmith	BOS	21	0	3	0.0	0	0	0.0	0	0	0.0	0	0	0.0	3	8	37.5	2	7	28.6
Bol Bol	DEN	21	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	1	0.0
CJ Elleby	POR	21	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Cam Reddish	ATL	21	4	11	36.4	1	2	50.0	2	4	50.0	1	2	50.0	5	6	83.3	6	11	54.5
Daniel Oturu	LAC	21	1	2	50.0	1	2	50.0	0	0	0.0	0	0	0.0	0	0	0.0	0	1	0.0
Isaac Bonga	WAS	21	0	1	0.0	0	0	0.0	0	1	0.0	0	0	0.0	0	2	0.0	0	1	0.0
Isaiah Joe	PHI	21	0	0	0.0	1	1	100	0	0	0.0	0	0	0.0	0	0	0.0	0	2	0.0
Ja Morant	MEM	21	22	36	61.1	13	26	50.0	9	18	50.0	0	1	0.0	1	5	20.0	10	26	38.5
Jalen Smith	PHX	21	1	3	33.3	0	0	0.0	0	0	0.0	0	0	0.0	1	1	100	0	0	0.0
Jaren Jackson Jr.	MEM	21	11	19	57.9	4	7	57.1	0	0	0.0	0	0	0.0	3	12	25.0	5	15	33.3
Kevin Knox II	NYK	21	0	0	0.0	0	0	0.0	-	-	-	0	0	0.0	0	0	0.0	0	0	0.0
Nassir Little	POR	21	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	1	4	25.0
Precious Achiuwa	MIA	21	3	4	75.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
RJ Barrett	NYK	21	16	29	55.2	1	6	16.7	1	2	50.0	0	0	0.0	3	19	15.8	5	11	45.5
Reggie Perry	BKN	21	4	6	66.7	1	2	50.0	0	0	0.0	0	0	0.0	0	1	0.0	2	4	50.0
Romeo Langford	BOS	21	6	12	50.0	1	1	100	0	1	0.0	0	1	0.0	5	12	41.7	1	4	25.0
Tyler Herro	MIA	21	2	6	33.3	1	1	100	2	5	40.0	0	4	0.0	3	6	50.0	4	16	25.0
Udoka Azubuike	UTA	21	0	0	0.0	-	-	-	0	0	0.0	-	-	-	-	-	-	-	-	-
Anfernee Simons	POR	22	1	1	100	1	1	100	0	3	0.0	1	2	50.0	4	7	57.1	6	10	60.0
Bruno Fernando	ATL	22	2	2	100	0	0	0.0	0	0	0.0	0	0	0.0	0	1	0.0	0	0	0.0
Daniel Gafford	WAS	22	21	22	95.5	1	3	33.3	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Deandre Ayton	PHX	22	120	156	76.9	19	46	41.3	13	22	59.1	2	7	28.6	0	3	0.0	0	0	0.0
Frank Ntilikina	NYK	22	0	0	0.0	0	0	0.0	-	-	-	-	-	-	0	1	0.0	0	0	0.0
Grant Williams	BOS	22	3	5	60.0	1	2	50.0	0	1	0.0	0	0	0.0	2	3	66.7	0	0	0.0
Immanuel Quickley	NYK	22	1	8	12.5	3	8	37.5	2	4	50.0	0	2	0.0	0	2	0.0	3	7	42.9
Jordan Nwora	MIL	22	2	5	40.0	0	1	0.0	0	0	0.0	0	4	0.0	1	2	50.0	1	6	16.7
KZ Okpala	MIA	22	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	1	0.0	0	0	0.0
Kevin Huerter	ATL	22	8	16	50.0	18	27	66.7	7	20	35.0	10	20	50.0	14	33	42.4	18	61	29.5
Luka Doncic	DAL	22	30	43	69.8	9	27	33.3	14	26	53.8	11	21	52.4	7	12	58.3	24	60	40.0
Markus Howard	DEN	22	3	7	42.9	0	0	0.0	0	0	0.0	0	2	0.0	6	13	46.2	6	14	42.9
Nic Claxton	BKN	22	12	23	52.2	1	5	20.0	1	1	100	0	0	0.0	0	0	0.0	0	0	0.0
Paul Reed	PHI	22	2	3	66.7	0	0	0.0	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Trae Young	ATL	22	33	63	52.4	25	53	47.2	29	59	49.2	10	24	41.7	14	31	45.2	31	99	31.3
Ty-Shon Alexander	PHX	22	0	0	0.0	-	-	-	-	-	-	1	1	100	0	0	0.0	0	0	0.0
Xavier Tillman	MEM	22	0	2	0.0	1	1	100	0	1	0.0	0	0	0.0	0	1	0.0	0	0	0.0
Bam Adebayo	MIA	23	10	20	50.0	5	11	45.5	11	22	50.0	0	4	0.0	0	0	0.0	0	0	0.0
Carsen Edwards	BOS	23	1	1	100	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	1	2	50.0
Cassius Winston	WAS	23	1	1	100	0	0	0.0	0	0	0.0	0	1	0.0	0	0	0.0	0	1	0.0
De'Andre Hunter	ATL	23	3	8	37.5	1	5	20.0	2	6	33.3	6	7	85.7	1	11	9.1	5	8	62.5
De'Anthony Melton	MEM	23	4	7	57.1	1	3	33.3	0	1	0.0	0	0	0.0	4	13	30.8	2	6	33.3
Desmond Bane	MEM	23	1	1	100	2	3	66.7	2	2	100	0	1	0.0	2	5	40.0	3	6	50.0
Furkan Korkmaz	PHI	23	8	12	66.7	1	3	33.3	3	9	33.3	3	4	75.0	8	20	40.0	7	25	28.0
Harry Giles III	POR	23	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	1	0.0	0	0	0.0
Jayson Tatum	BOS	23	14	27	51.9	5	14	35.7	6	17	35.3	5	12	41.7	6	9	66.7	11	31	35.5
