PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Anthony Lamb	HOU	23	21	43	48.8	2	4	50.0	0	0	0.0	0	0	0.0	9	24	37.5	14	46	30.4
Armoni Brooks	HOU	23	15	27	55.6	2	3	66.7	1	5	20.0	0	0	0.0	18	40	45.0	39	109	35.8
Avery Bradley	HOU	30	15	23	65.2	0	4	0.0	0	1	0.0	0	8	0.0	11	32	34.4	7	36	19.4
Ben McLemore	LAL	28	18	31	58.1	3	7	42.9	0	6	0.0	2	9	22.2	34	67	50.7	22	100	22.0
Brodric Thomas	CLE	24	1	1	100	0	0	0.0	0	0	0.0	0	0	0.0	1	2	50.0	0	4	0.0
Bruno Caboclo	HOU	25	8	10	80.0	0	2	0.0	0	0	0.0	0	0	0.0	0	2	0.0	0	3	0.0
Cam Reynolds	HOU	26	1	2	50.0	0	0	0.0	1	2	50.0	0	0	0.0	1	6	16.7	2	6	33.3
Cameron Oliver	HOU	24	11	14	78.6	2	3	66.7	2	3	66.7	0	0	0.0	1	3	33.3	3	10	30.0
Christian Wood	HOU	25	192	266	72.2	25	73	34.2	17	41	41.5	11	38	28.9	30	72	41.7	54	147	36.7
D.J. Augustin	HOU	33	20	38	52.6	4	8	50.0	2	9	22.2	3	5	60.0	7	26	26.9	28	63	44.4
D.J. Wilson	HOU	25	22	36	61.1	4	12	33.3	2	6	33.3	3	7	42.9	8	25	32.0	13	38	34.2
DaQuan Jeffries	SAS	23	10	17	58.8	2	2	100	0	0	0.0	0	1	0.0	11	26	42.3	3	17	17.6
Danuel House Jr.	HOU	28	44	80	55.0	3	9	33.3	3	7	42.9	5	16	31.3	24	75	32.0	30	80	37.5
David Nwaba	HOU	28	81	131	61.8	8	19	42.1	0	5	0.0	0	0	0.0	8	38	21.1	9	24	37.5
DeMarcus Cousins	LAC	30	34	81	42.0	5	9	55.6	1	2	50.0	0	2	0.0	13	24	54.2	26	92	28.3
Eric Gordon	HOU	32	76	115	66.1	12	32	37.5	2	7	28.6	0	1	0.0	10	28	35.7	54	173	31.2
Jae'Sean Tate	HOU	25	227	346	65.6	26	65	40.0	1	11	9.1	1	6	16.7	32	102	31.4	29	94	30.9
James Harden	BKN	31	34	51	66.7	0	9	0.0	1	3	33.3	0	0	0.0	5	11	45.5	20	58	34.5
John Wall	HOU	30	142	269	52.8	18	45	40.0	14	34	41.2	27	97	27.8	29	70	41.4	62	205	30.2
Justin Patton	HOU	24	13	21	61.9	3	8	37.5	2	3	66.7	1	1	100	5	22	22.7	5	15	33.3
Kelly Olynyk	HOU	30	112	152	73.7	7	25	28.0	4	12	33.3	2	4	50.0	16	28	57.1	32	95	33.7
Kenyon Martin Jr.	HOU	20	120	188	63.8	6	29	20.7	1	3	33.3	0	1	0.0	18	42	42.9	16	53	30.2
Kevin Porter Jr.	HOU	21	68	109	62.4	13	34	38.2	13	32	40.6	10	24	41.7	15	51	29.4	36	115	31.3
Khyri Thomas	HOU	25	17	24	70.8	1	2	50.0	2	3	66.7	2	7	28.6	3	13	23.1	7	17	41.2
Mason Jones	PHI	22	13	26	50.0	4	9	44.4	3	6	50.0	3	6	50.0	6	12	50.0	18	53	34.0
P.J. Tucker	MIL	36	18	34	52.9	1	5	20.0	1	4	25.0	0	0	0.0	25	76	32.9	3	12	25.0
Ray Spalding	HOU	24	1	2	50.0	1	1	100	0	0	0.0	0	0	0.0	0	1	0.0	0	0	0.0
Rodions Kurucs	MIL	23	3	6	50.0	0	0	0.0	0	0	0.0	0	0	0.0	1	8	12.5	1	7	14.3
Sterling Brown	HOU	26	50	87	57.5	5	15	33.3	2	6	33.3	1	8	12.5	45	112	40.2	47	104	45.2
Victor Oladipo	MIA	29	64	106	60.4	15	44	34.1	12	30	40.0	10	37	27.0	25	56	44.6	29	105	27.6
