PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Alfonzo McKinnie	GSW	26	14	19	73.7	1	6	16.7	1	1	100	0	1	0.0	8	27	29.6	2	5	40.0
Andre Iguodala	GSW	35	45	57	78.9	3	6	50.0	2	9	22.2	4	13	30.8	17	39	43.6	11	42	26.2
Andrew Bogut	GSW	34	21	29	72.4	3	6	50.0	0	2	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Damian Jones	GSW	24	1	1	100	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
DeMarcus Cousins	GSW	28	17	31	54.8	0	5	0.0	1	1	100	0	4	0.0	0	1	0.0	3	11	27.3
Draymond Green	GSW	29	81	113	71.7	9	28	32.1	6	18	33.3	3	8	37.5	5	23	21.7	10	34	29.4
Jacob Evans	GSW	22	0	0	0.0	0	1	0.0	0	0	0.0	0	1	0.0	2	2	100	0	1	0.0
Jonas Jerebko	GSW	32	4	7	57.1	0	6	0.0	1	2	50.0	1	5	20.0	4	14	28.6	2	7	28.6
Jordan Bell	GSW	24	11	19	57.9	2	3	66.7	2	6	33.3	2	3	66.7	0	0	0.0	0	0	0.0
Kevin Durant	GSW	30	33	40	82.5	4	13	30.8	18	46	39.1	32	55	58.2	9	21	42.9	29	66	43.9
Kevon Looney	GSW	23	53	70	75.7	6	9	66.7	0	2	0.0	4	11	36.4	1	1	100	0	0	0.0
Klay Thompson	GSW	29	29	44	65.9	10	19	52.6	21	55	38.2	25	58	43.1	31	72	43.1	47	107	43.9
Quinn Cook	GSW	26	8	10	80.0	1	2	50.0	2	6	33.3	4	15	26.7	5	11	45.5	8	25	32.0
Shaun Livingston	GSW	33	15	24	62.5	7	11	63.6	8	27	29.6	4	11	36.4	0	0	0.0	0	0	0.0
Stephen Curry	GSW	31	44	76	57.9	10	28	35.7	21	34	61.8	17	33	51.5	25	60	41.7	67	172	39.0
