PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
BJ Johnson	SAC	23	2	5	40.0	1	1	100	2	3	66.7	1	2	50.0	3	4	75.0	0	2	0.0
Bam Adebayo	MIA	21	228	337	67.7	20	59	33.9	21	56	37.5	8	18	44.4	0	6	0.0	3	7	42.9
Ben McLemore	SAC	26	4	9	44.4	0	3	0.0	0	1	0.0	3	5	60.0	10	28	35.7	8	17	47.1
Ben Simmons	PHI	22	443	682	65.0	76	179	42.5	18	71	25.4	2	21	9.5	1	1	100	0	4	0.0
Billy Garrett	NYK	24	5	6	83.3	0	0	0.0	4	8	50.0	2	3	66.7	0	4	0.0	0	6	0.0
Bismack Biyombo	CHA	26	72	113	63.7	9	22	40.9	5	12	41.7	3	7	42.9	0	2	0.0	0	0	0.0
Blake Griffin	DET	30	346	537	64.4	54	165	32.7	15	62	24.2	10	38	26.3	81	201	40.3	110	330	33.3
Boban Marjanovic	PHI	30	119	172	69.2	19	41	46.3	12	21	57.1	6	14	42.9	3	7	42.9	1	5	20.0
Bobby Portis	WAS	24	119	215	55.3	45	106	42.5	20	45	44.4	13	47	27.7	22	73	30.1	60	142	42.3
Bogdan Bogdanovic	SAC	26	112	200	56.0	34	99	34.3	36	76	47.4	30	70	42.9	60	163	36.8	87	242	36.0
Bojan Bogdanovic	IND	30	234	371	63.1	38	98	38.8	46	109	42.2	36	80	45.0	77	147	52.4	88	238	37.0
Bonzie Colson	MIL	23	6	13	46.2	1	2	50.0	0	2	0.0	1	1	100	3	9	33.3	2	11	18.2
Brad Wanamaker	BOS	29	18	26	69.2	6	14	42.9	2	7	28.6	7	14	50.0	2	10	20.0	15	34	44.1
Bradley Beal	WAS	26	347	527	65.8	36	85	42.4	59	126	46.8	83	195	42.6	81	235	34.5	154	430	35.8
Brandon Goodwin	DEN	23	4	10	40.0	0	1	0.0	0	4	0.0	0	2	0.0	0	1	0.0	2	5	40.0
Brandon Ingram	LAL	21	193	313	61.7	35	70	50.0	50	124	40.3	46	113	40.7	25	68	36.8	13	41	31.7
Brandon Knight	CLE	27	23	43	53.5	5	24	20.8	9	33	27.3	15	23	65.2	17	45	37.8	29	91	31.9
Brandon Sampson	CHI	22	12	19	63.2	5	10	50.0	0	0	0.0	0	2	0.0	5	12	41.7	6	17	35.3
