PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Aaron Gordon	ORL	23	246	404	60.9	26	75	34.7	38	99	38.4	29	98	29.6	63	156	40.4	68	208	32.7
Aaron Holiday	IND	22	32	55	58.2	7	22	31.8	5	16	31.3	14	34	41.2	13	32	40.6	34	98	34.7
Abdel Nader	OKC	25	48	85	56.5	9	23	39.1	0	3	0.0	0	2	0.0	20	55	36.4	14	46	30.4
Al Horford	BOS	33	159	231	68.8	52	94	55.3	35	71	49.3	53	95	55.8	30	85	35.3	58	146	39.7
Al-Farouq Aminu	POR	28	140	235	59.6	13	35	37.1	2	15	13.3	4	18	22.2	60	164	36.6	38	126	30.2
Alan Williams	BKN	26	4	5	80.0	2	4	50.0	2	3	66.7	0	0	0.0	0	0	0.0	0	1	0.0
Alec Burks	SAC	27	96	173	55.5	11	46	23.9	8	30	26.7	12	47	25.5	24	63	38.1	41	112	36.6
Alex Abrines	OKC	25	10	18	55.6	0	2	0.0	0	1	0.0	2	5	40.0	22	58	37.9	21	69	30.4
Alex Caruso	LAL	25	41	83	49.4	5	11	45.5	4	16	25.0	3	9	33.3	9	21	42.9	15	32	46.9
Alex Len	ATL	26	218	356	61.2	17	49	34.7	6	19	31.6	4	17	23.5	43	126	34.1	32	80	40.0
Alex Poythress	ATL	25	30	53	56.6	1	3	33.3	0	0	0.0	0	2	0.0	8	19	42.1	1	4	25.0
Alfonzo McKinnie	GSW	26	80	121	66.1	4	15	26.7	4	8	50.0	2	6	33.3	26	81	32.1	18	44	40.9
Alize Johnson	IND	23	2	6	33.3	1	5	20.0	0	1	0.0	0	1	0.0	1	2	50.0	0	1	0.0
Allen Crabbe	BKN	27	20	38	52.6	3	15	20.0	8	17	47.1	6	27	22.2	47	114	41.2	53	159	33.3
Allonzo Trier	NYK	23	120	222	54.1	4	12	33.3	21	51	41.2	28	84	33.3	22	56	39.3	37	92	40.2
Amile Jefferson	ORL	26	10	13	76.9	0	3	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Amir Johnson	PHI	32	54	79	68.4	10	32	31.3	2	3	66.7	1	1	100	3	17	17.6	9	24	37.5
Andre Drummond	DET	25	486	815	59.6	59	156	37.8	10	32	31.3	1	9	11.1	2	12	16.7	3	20	15.0
Andre Iguodala	GSW	35	92	112	82.1	0	7	0.0	4	13	30.8	5	17	29.4	29	77	37.7	21	74	28.4
Andre Ingram	LAL	33	0	0	0.0	0	1	0.0	0	1	0.0	0	1	0.0	0	1	0.0	0	2	0.0
Andrew Bogut	GSW	34	14	25	56.0	2	6	33.3	2	4	50.0	0	1	0.0	0	0	0.0	0	0	0.0
Andrew Harrison	NOP	24	8	15	53.3	1	3	33.3	2	4	50.0	0	4	0.0	1	11	9.1	4	14	28.6
Andrew Wiggins	MIN	24	218	391	55.8	40	104	38.5	39	117	33.3	57	180	31.7	76	196	38.8	66	210	31.4
Anfernee Simons	POR	20	10	13	76.9	2	8	25.0	2	6	33.3	4	7	57.1	4	12	33.3	6	17	35.3
Angel Delgado	LAC	24	1	5	20.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Ante Zizic	CLE	22	143	226	63.3	19	55	34.5	15	33	45.5	6	17	35.3	0	0	0.0	0	0	0.0
Anthony Davis	NOP	26	320	455	70.3	56	146	38.4	54	130	41.5	38	118	32.2	28	66	42.4	34	108	31.5
Anthony Tolliver	MIN	34	12	26	46.2	2	8	25.0	0	3	0.0	3	4	75.0	31	99	31.3	50	116	43.1
Antonio Blakeney	CHI	22	42	73	57.5	26	55	47.3	32	85	37.6	19	69	27.5	37	75	49.3	10	38	26.3
Aron Baynes	BOS	32	67	121	55.4	7	17	41.2	6	13	46.2	4	11	36.4	7	16	43.8	14	45	31.1
Austin Rivers	HOU	26	96	166	57.8	25	59	42.4	5	16	31.3	1	3	33.3	40	119	33.6	65	205	31.7
Avery Bradley	MEM	28	53	116	45.7	16	43	37.2	13	34	38.2	51	110	46.4	77	194	39.7	38	104	36.5
