PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Andre Iguodala	GSW	34	85	114	74.6	5	22	22.7	8	20	40.0	14	40	35.0	12	43	27.9	24	76	31.6
Chris Boucher	GSW	25	0	0	0.0	-	-	-	-	-	-	0	0	0.0	0	1	0.0	-	-	-
Damian Jones	GSW	23	10	15	66.7	1	2	50.0	0	1	0.0	0	3	0.0	0	1	0.0	0	0	0.0
David West	GSW	37	107	145	73.8	21	55	38.2	31	57	54.4	49	95	51.6	5	20	25.0	3	6	50.0
Draymond Green	GSW	28	163	247	66.0	17	42	40.5	17	44	38.6	5	24	20.8	15	55	27.3	63	197	32.0
JaVale McGee	GSW	30	107	153	69.9	17	29	58.6	4	15	26.7	7	15	46.7	1	2	50.0	0	5	0.0
Jordan Bell	GSW	23	94	139	67.6	7	15	46.7	12	19	63.2	2	7	28.6	1	1	100	0	4	0.0
Kevin Durant	GSW	29	181	255	71.0	45	82	54.9	97	192	50.5	120	240	50.0	55	132	41.7	131	311	42.1
Kevon Looney	GSW	22	94	143	65.7	4	18	22.2	6	9	66.7	5	13	38.5	3	7	42.9	0	1	0.0
Klay Thompson	GSW	28	104	160	65.0	16	45	35.6	62	126	49.2	116	232	50.0	138	273	50.5	138	335	41.2
Nick Young	GSW	33	26	37	70.3	2	8	25.0	23	43	53.5	23	57	40.4	56	151	37.1	69	185	37.3
Omri Casspi	GSW	30	83	122	68.0	19	45	42.2	8	17	47.1	0	1	0.0	4	7	57.1	6	14	42.9
Patrick McCaw	GSW	22	57	93	61.3	4	14	28.6	3	12	25.0	6	18	33.3	13	35	37.1	9	52	17.3
Quinn Cook	GSW	25	27	51	52.9	9	18	50.0	13	27	48.1	17	37	45.9	23	47	48.9	32	71	45.1
Shaun Livingston	GSW	32	63	94	67.0	26	52	50.0	62	140	44.3	19	49	38.8	2	5	40.0	0	1	0.0
Stephen Curry	GSW	30	116	185	62.7	9	22	40.9	30	53	56.6	41	67	61.2	74	169	43.8	154	351	43.9
Zaza Pachulia	GSW	34	116	186	62.4	12	28	42.9	11	20	55.0	10	27	37.0	0	2	0.0	0	0	0.0
