PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Bam Adebayo	MIA	20	5	12	41.7	2	2	100	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Furkan Korkmaz	PHI	20	0	0	0.0	0	0	0.0	-	-	-	-	-	-	0	0	0.0	1	1	100
Jayson Tatum	BOS	20	63	109	57.8	6	14	42.9	12	24	50.0	17	32	53.1	7	30	23.3	18	52	34.6
Markelle Fultz	PHI	20	0	2	0.0	1	3	33.3	0	2	0.0	0	0	0.0	0	0	0.0	0	0	0.0
O.G. Anunoby	TOR	20	14	21	66.7	2	2	100	0	0	0.0	0	0	0.0	8	21	38.1	5	8	62.5
Terrance Ferguson	OKC	20	0	0	0.0	0	0	0.0	-	-	-	0	0	0.0	0	0	0.0	1	1	100
Tony Bradley	UTA	20	1	2	50.0	-	-	-	-	-	-	-	-	-	0	0	0.0	-	-	-
Zach Collins	POR	20	6	8	75.0	1	4	25.0	1	3	33.3	0	1	0.0	2	10	20.0	1	4	25.0
Ante Zizic	CLE	21	4	6	66.7	0	2	0.0	1	2	50.0	0	0	0.0	0	0	0.0	0	0	0.0
Ben Simmons	PHI	21	52	87	59.8	5	21	23.8	3	11	27.3	1	4	25.0	0	1	0.0	0	0	0.0
Caleb Swanigan	POR	21	0	0	0.0	0	0	0.0	0	0	0.0	0	1	0.0	0	1	0.0	0	0	0.0
Cheick Diallo	NOP	21	3	5	60.0	1	3	33.3	1	3	33.3	0	1	0.0	0	0	0.0	0	0	0.0
Chinanu Onuaku	HOU	21	0	0	0.0	0	0	0.0	-	-	-	-	-	-	0	0	0.0	0	0	0.0
Dejounte Murray	SAS	21	5	8	62.5	2	6	33.3	2	5	40.0	1	5	20.0	4	6	66.7	0	1	0.0
Donovan Mitchell	UTA	21	63	109	57.8	8	29	27.6	3	13	23.1	2	8	25.0	11	25	44.0	13	54	24.1
Jaylen Brown	BOS	21	62	109	56.9	3	17	17.6	7	11	63.6	7	13	53.8	15	34	44.1	30	80	37.5
T.J. Leaf	IND	21	0	0	0.0	0	0	0.0	-	-	-	0	0	0.0	0	0	0.0	0	0	0.0
Thon Maker	MIL	21	4	5	80.0	0	1	0.0	0	0	0.0	1	1	100	2	6	33.3	4	15	26.7
Dakari Johnson	OKC	22	0	0	0.0	0	0	0.0	-	-	-	0	0	0.0	0	0	0.0	0	0	0.0
Dante Exum	UTA	22	15	28	53.6	2	5	40.0	1	1	100	0	0	0.0	2	5	40.0	0	2	0.0
Domantas Sabonis	IND	22	22	30	73.3	3	7	42.9	7	9	77.8	2	8	25.0	1	4	25.0	1	4	25.0
Guerschon Yabusele	BOS	22	1	2	50.0	0	0	0.0	0	0	0.0	0	1	0.0	0	4	0.0	0	2	0.0
Jakob Poeltl	TOR	22	14	26	53.8	2	3	66.7	0	0	0.0	1	1	100	0	0	0.0	0	1	0.0
Justise Winslow	MIA	22	6	15	40.0	2	4	50.0	0	2	0.0	0	2	0.0	4	8	50.0	3	11	27.3
Karl-Anthony Towns	MIN	22	16	29	55.2	6	11	54.5	2	5	40.0	0	0	0.0	2	8	25.0	2	6	33.3
Kelly Oubre Jr.	WAS	22	11	18	61.1	0	2	0.0	2	5	40.0	1	2	50.0	1	8	12.5	3	13	23.1
Kevon Looney	GSW	22	35	60	58.3	0	1	0.0	2	3	66.7	2	6	33.3	0	1	0.0	0	1	0.0
Myles Turner	IND	22	17	21	81.0	2	3	66.7	3	8	37.5	5	8	62.5	1	3	33.3	5	11	45.5
Patrick McCaw	GSW	22	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	1	2	50.0	0	0	0.0
Tyus Jones	MIN	22	1	4	25.0	0	0	0.0	1	1	100	0	0	0.0	0	2	0.0	0	0	0.0
Wade Baldwin IV	POR	22	0	1	0.0	0	1	0.0	0	0	0.0	0	1	0.0	0	0	0.0	1	1	100
Zhou Qi	HOU	22	0	0	0.0	1	1	100	-	-	-	-	-	-	0	0	0.0	0	0	0.0
Andrew Wiggins	MIN	23	15	22	68.2	4	8	50.0	1	7	14.3	3	10	30.0	2	10	20.0	5	11	45.5
Cedi Osman	CLE	23	4	5	80.0	0	0	0.0	0	2	0.0	0	1	0.0	2	6	33.3	0	4	0.0
Damian Jones	GSW	23	1	1	100	0	0	0.0	0	0	0.0	0	1	0.0	0	0	0.0	0	0	0.0
Derrick White	SAS	23	1	1	100	0	1	0.0	1	1	100	0	1	0.0	0	0	0.0	1	2	50.0
Giannis Antetokounmpo	MIL	23	43	60	71.7	8	15	53.3	9	18	50.0	5	13	38.5	0	1	0.0	4	13	30.8
Jabari Parker	MIL	23	15	23	65.2	2	8	25.0	1	2	50.0	3	7	42.9	4	12	33.3	3	10	30.0
Jordan Bell	GSW	23	16	23	69.6	0	3	0.0	1	2	50.0	0	3	0.0	0	0	0.0	0	0	0.0
Jusuf Nurkic	POR	23	16	31	51.6	2	3	66.7	0	0	0.0	0	1	0.0	1	4	25.0	0	0	0.0
Semi Ojeleye	BOS	23	4	10	40.0	0	0	0.0	0	0	0.0	0	0	0.0	5	12	41.7	1	11	9.1
Sterling Brown	MIL	23	1	1	100	0	0	0.0	1	1	100	-	-	-	1	2	50.0	0	1	0.0
Abdel Nader	BOS	24	3	7	42.9	0	0	0.0	1	2	50.0	1	1	100	0	1	0.0	0	4	0.0
Alex Abrines	OKC	24	1	3	33.3	0	1	0.0	0	0	0.0	1	2	50.0	3	9	33.3	3	5	60.0
Bryn Forbes	SAS	24	0	2	0.0	1	2	50.0	0	1	0.0	1	2	50.0	2	3	66.7	1	6	16.7
