PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Andre Iguodala	GSW	38	2	2	100	0	0	0.0	0	0	0.0	1	4	25.0	0	0	0.0	1	3	33.3
Andrew Wiggins	GSW	27	62	90	68.9	25	60	41.7	9	19	47.4	9	25	36.0	13	41	31.7	25	69	36.2
Damion Lee	GSW	29	6	6	100	1	5	20.0	1	3	33.3	0	3	0.0	2	7	28.6	3	9	33.3
Draymond Green	GSW	32	44	63	69.8	10	29	34.5	5	9	55.6	0	1	0.0	5	19	26.3	5	21	23.8
Gary Payton II	GSW	29	18	22	81.8	3	7	42.9	0	0	0.0	0	0	0.0	6	10	60.0	2	4	50.0
Jonathan Kuminga	GSW	19	21	26	80.8	3	8	37.5	2	8	25.0	1	4	25.0	2	7	28.6	1	7	14.3
Jordan Poole	GSW	23	43	61	70.5	22	37	59.5	3	11	27.3	11	14	78.6	11	27	40.7	36	94	38.3
Juan Toscano-Anderson	GSW	29	1	1	100	1	3	33.3	0	0	0.0	0	0	0.0	0	2	0.0	2	4	50.0
Kevon Looney	GSW	26	47	69	68.1	10	16	62.5	0	1	0.0	0	1	0.0	1	1	100	0	0	0.0
Klay Thompson	GSW	32	33	51	64.7	5	23	21.7	21	46	45.7	20	42	47.6	21	63	33.3	56	141	39.7
Moses Moody	GSW	20	6	7	85.7	0	3	0.0	1	2	50.0	1	2	50.0	6	11	54.5	1	3	33.3
Nemanja Bjelica	GSW	34	7	12	58.3	6	9	66.7	1	4	25.0	1	1	100	0	2	0.0	1	4	25.0
Otto Porter Jr.	GSW	29	8	10	80.0	5	8	62.5	2	3	66.7	4	8	50.0	8	18	44.4	11	30	36.7
Stephen Curry	GSW	34	41	65	63.1	30	62	48.4	17	37	45.9	16	36	44.4	20	40	50.0	74	172	43.0
