PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Alen Smailagic	GSW	20	6	12	50.0	1	5	20.0	0	0	0.0	0	0	0.0	1	3	33.3	3	7	42.9
Andrew Wiggins	GSW	26	215	326	66.0	52	113	46.0	40	100	40.0	43	108	39.8	62	167	37.1	92	237	38.8
Brad Wanamaker	CHA	31	33	66	50.0	4	17	23.5	1	8	12.5	3	9	33.3	8	20	40.0	12	51	23.5
Damion Lee	GSW	28	27	34	79.4	7	12	58.3	13	25	52.0	0	2	0.0	41	88	46.6	39	109	35.8
Draymond Green	GSW	31	114	180	63.3	12	35	34.3	2	16	12.5	7	19	36.8	10	32	31.3	24	92	26.1
Eric Paschall	GSW	24	71	117	60.7	17	41	41.5	9	23	39.1	27	54	50.0	12	26	46.2	11	36	30.6
Gary Payton II	GSW	28	8	9	88.9	0	0	0.0	0	0	0.0	0	0	0.0	1	3	33.3	1	1	100
James Wiseman	GSW	20	130	176	73.9	18	60	30.0	9	34	26.5	15	40	37.5	10	30	33.3	9	28	32.1
Jordan Bell	GSW	26	0	1	0.0	0	0	0.0	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Jordan Poole	GSW	22	65	101	64.4	16	33	48.5	15	31	48.4	10	29	34.5	27	52	51.9	66	213	31.0
Juan Toscano-Anderson	GSW	28	79	106	74.5	3	8	37.5	0	1	0.0	0	0	0.0	15	40	37.5	24	52	46.2
Kelly Oubre Jr.	GSW	25	169	274	61.7	31	91	34.1	19	41	46.3	7	25	28.0	49	138	35.5	42	152	27.6
Kent Bazemore	GSW	31	71	114	62.3	15	36	41.7	5	19	26.3	7	27	25.9	48	124	38.7	30	68	44.1
Kevon Looney	GSW	25	85	129	65.9	9	23	39.1	5	14	35.7	3	12	25.0	3	8	37.5	3	11	27.3
Marquese Chriss	GSW	23	4	7	57.1	0	2	0.0	0	0	0.0	0	0	0.0	1	2	50.0	0	3	0.0
Mychal Mulder	GSW	27	33	46	71.7	1	2	50.0	0	1	0.0	0	2	0.0	36	94	38.3	47	117	40.2
Nico Mannion	GSW	20	10	19	52.6	6	15	40.0	1	10	10.0	0	5	0.0	7	22	31.8	12	38	31.6
Stephen Curry	GSW	33	184	295	62.4	49	93	52.7	38	66	57.6	30	69	43.5	72	166	43.4	244	572	42.7
