PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Alfonzo McKinnie	GSW	26	80	121	66.1	4	15	26.7	4	8	50.0	2	6	33.3	26	81	32.1	18	44	40.9
Andre Iguodala	GSW	35	92	112	82.1	0	7	0.0	4	13	30.8	5	17	29.4	29	77	37.7	21	74	28.4
Andrew Bogut	GSW	34	14	25	56.0	2	6	33.3	2	4	50.0	0	1	0.0	0	0	0.0	0	0	0.0
Damian Jones	GSW	24	49	67	73.1	2	2	100	0	1	0.0	2	2	100	0	2	0.0	0	0	0.0
Damion Lee	GSW	26	10	20	50.0	5	9	55.6	4	11	36.4	8	14	57.1	17	35	48.6	12	37	32.4
DeMarcus Cousins	GSW	28	120	189	63.5	22	58	37.9	4	11	36.4	5	14	35.7	2	12	16.7	24	86	27.9
Draymond Green	GSW	29	111	169	65.7	13	39	33.3	9	25	36.0	6	18	33.3	15	45	33.3	34	125	27.2
Jacob Evans	GSW	22	4	12	33.3	1	2	50.0	3	5	60.0	4	13	30.8	4	12	33.3	2	8	25.0
Jonas Jerebko	GSW	32	65	107	60.7	5	14	35.7	7	12	58.3	13	25	52.0	32	76	42.1	38	117	32.5
Jordan Bell	GSW	24	67	100	67.0	5	14	35.7	10	24	41.7	14	47	29.8	3	5	60.0	0	1	0.0
Kevin Durant	GSW	30	218	299	72.9	56	107	52.3	139	278	50.0	157	275	57.1	33	110	30.0	115	296	38.9
Kevon Looney	GSW	23	188	274	68.6	4	18	22.2	7	12	58.3	14	24	58.3	3	13	23.1	1	4	25.0
Klay Thompson	GSW	29	155	223	69.5	26	71	36.6	83	172	48.3	116	258	45.0	121	274	44.2	151	392	38.5
Marcus Derrickson	GSW	23	2	4	50.0	0	1	0.0	1	2	50.0	2	4	50.0	3	6	50.0	7	15	46.7
Quinn Cook	GSW	26	48	87	55.2	11	20	55.0	16	45	35.6	42	68	61.8	34	75	45.3	53	142	37.3
Shaun Livingston	GSW	33	46	76	60.5	20	35	57.1	33	76	43.4	10	21	47.6	0	0	0.0	0	0	0.0
Stephen Curry	GSW	31	157	253	62.1	29	66	43.9	23	52	44.2	47	109	43.1	123	244	50.4	234	554	42.2
