PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Austin Rivers	HOU	27	93	168	55.4	18	49	36.7	2	11	18.2	1	2	50.0	35	83	42.2	62	187	33.2
Ben McLemore	HOU	27	58	86	67.4	1	5	20.0	2	2	100	0	0	0.0	82	181	45.3	99	265	37.4
Bruno Caboclo	HOU	24	7	9	77.8	1	2	50.0	0	0	0.0	0	1	0.0	1	3	33.3	1	5	20.0
Chris Clemons	HOU	22	15	26	57.7	2	2	100	2	4	50.0	0	1	0.0	4	10	40.0	33	96	34.4
Clint Capela	ATL	26	224	334	67.1	19	51	37.3	0	1	0.0	1	2	50.0	0	0	0.0	0	0	0.0
Danuel House Jr.	HOU	27	91	144	63.2	5	22	22.7	4	11	36.4	1	5	20.0	74	189	39.2	55	165	33.3
DeMarre Carroll	HOU	33	7	10	70.0	2	3	66.7	2	4	50.0	0	0	0.0	5	10	50.0	0	10	0.0
Eric Gordon	HOU	31	68	126	54.0	4	19	21.1	3	9	33.3	0	0	0.0	9	50	18.0	85	249	34.1
Gary Clark	ORL	25	5	7	71.4	0	0	0.0	0	1	0.0	0	0	0.0	10	23	43.5	8	28	28.6
Isaiah Hartenstein	HOU	22	39	51	76.5	4	9	44.4	1	2	50.0	0	0	0.0	0	1	0.0	0	4	0.0
James Harden	HOU	30	291	471	61.8	66	163	40.5	8	24	33.3	8	13	61.5	29	90	32.2	260	725	35.9
Jeff Green	HOU	33	50	63	79.4	4	5	80.0	1	1	100	0	0	0.0	13	39	33.3	16	38	42.1
Luc Mbah a Moute	HOU	33	2	3	66.7	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	2	0.0
Michael Frazier II	HOU	26	3	6	50.0	0	0	0.0	0	0	0.0	0	0	0.0	4	11	36.4	0	12	0.0
P.J. Tucker	HOU	35	47	77	61.0	10	24	41.7	7	15	46.7	0	1	0.0	97	256	37.9	16	53	30.2
Robert Covington	HOU	29	33	52	63.5	1	5	20.0	0	0	0.0	1	1	100	20	53	37.7	33	112	29.5
Russell Westbrook	HOU	31	376	625	60.2	29	86	33.7	54	143	37.8	76	186	40.9	29	101	28.7	39	138	28.3
Ryan Anderson	HOU	32	0	1	0.0	0	0	0.0	1	1	100	0	0	0.0	0	1	0.0	1	4	25.0
Thabo Sefolosha	HOU	36	20	25	80.0	0	4	0.0	1	3	33.3	1	5	20.0	11	28	39.3	4	26	15.4
Tyson Chandler	HOU	37	14	18	77.8	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
William Howard	HOU	26	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	1	0.0	0	3	0.0
