PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Austin Rivers	HOU	26	60	101	59.4	19	42	45.2	5	12	41.7	0	1	0.0	32	89	36.0	40	130	30.8
Brandon Knight	CLE	27	4	5	80.0	0	2	0.0	1	5	20.0	0	1	0.0	3	12	25.0	3	22	13.6
Carmelo Anthony	HOU	35	13	21	61.9	2	5	40.0	5	11	45.5	5	10	50.0	4	22	18.2	20	51	39.2
Chris Chiozza	HOU	23	0	1	0.0	0	1	0.0	0	0	0.0	0	1	0.0	1	3	33.3	1	2	50.0
Chris Paul	HOU	34	46	87	52.9	26	67	38.8	70	146	47.9	31	62	50.0	34	105	32.4	89	241	36.9
Clint Capela	HOU	25	447	647	69.1	27	78	34.6	0	7	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Danuel House Jr.	HOU	26	41	64	64.1	2	6	33.3	0	3	0.0	1	1	100	38	96	39.6	36	81	44.4
Eric Gordon	HOU	30	144	244	59.0	14	68	20.6	7	16	43.8	2	7	28.6	54	141	38.3	159	445	35.7
Gary Clark	HOU	24	8	10	80.0	1	2	50.0	0	1	0.0	0	0	0.0	12	55	21.8	29	82	35.4
Gerald Green	HOU	33	50	72	69.4	10	21	47.6	5	21	23.8	8	18	44.4	84	196	42.9	74	248	29.8
Iman Shumpert	HOU	29	7	12	58.3	0	0	0.0	0	3	0.0	4	5	80.0	12	39	30.8	11	39	28.2
Isaiah Hartenstein	HOU	21	18	32	56.3	0	3	0.0	0	0	0.0	0	0	0.0	1	2	50.0	1	4	25.0
James Ennis III	PHI	28	56	84	66.7	3	6	50.0	0	0	0.0	0	0	0.0	32	77	41.6	13	44	29.5
James Harden	HOU	29	326	580	56.2	91	185	49.2	33	71	46.5	12	33	36.4	72	209	34.4	301	798	37.7
James Nunnally	HOU	28	0	1	0.0	0	0	0.0	0	0	0.0	0	0	0.0	2	9	22.2	1	3	33.3
Kenneth Faried	HOU	29	113	178	63.5	6	18	33.3	3	4	75.0	2	3	66.7	3	6	50.0	4	12	33.3
Marquese Chriss	CLE	21	10	18	55.6	0	1	0.0	0	0	0.0	0	0	0.0	0	4	0.0	1	10	10.0
Michael Carter-Williams	ORL	27	12	26	46.2	6	12	50.0	0	4	0.0	0	0	0.0	3	9	33.3	4	10	40.0
Nene	HOU	36	43	65	66.2	3	14	21.4	3	9	33.3	9	21	42.9	2	5	40.0	0	1	0.0
P.J. Tucker	HOU	34	47	95	49.5	8	28	28.6	5	9	55.6	0	1	0.0	114	300	38.0	33	88	37.5
Terrence Jones	HOU	27	1	2	50.0	0	0	0.0	0	0	0.0	0	0	0.0	0	1	0.0	0	1	0.0
Vincent Edwards	HOU	23	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	1	3	33.3	0	1	0.0
Zhou Qi	HOU	23	1	1	100	0	0	0.0	-	-	-	-	-	-	-	-	-	-	-	
