PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Aaron Gordon	DEN	25	111	176	63.1	21	47	44.7	25	55	45.5	13	36	36.1	24	69	34.8	37	112	33.0
Aaron Holiday	IND	24	63	148	42.6	17	51	33.3	11	30	36.7	11	20	55.0	22	54	40.7	43	126	34.1
Aaron Nesmith	BOS	21	29	47	61.7	4	12	33.3	4	9	44.4	1	1	100	21	62	33.9	19	46	41.3
Abdel Nader	PHX	27	31	55	56.4	7	12	58.3	1	4	25.0	0	2	0.0	8	18	44.4	10	25	40.0
Adam Mokoka	CHI	22	6	9	66.7	0	0	0.0	0	0	0.0	0	0	0.0	1	7	14.3	0	3	0.0
Al Horford	OKC	35	53	88	60.2	24	54	44.4	14	28	50.0	14	32	43.8	16	47	34.0	41	111	36.9
Al-Farouq Aminu	CHI	30	19	39	48.7	5	12	41.7	0	3	0.0	4	5	80.0	7	15	46.7	3	25	12.0
Alec Burks	NYK	29	51	105	48.6	12	37	32.4	20	53	37.7	19	45	42.2	53	125	42.4	55	134	41.0
Aleksej Pokusevski	OKC	19	38	76	50.0	13	40	32.5	14	36	38.9	13	39	33.3	24	77	31.2	34	132	25.8
Alen Smailagic	GSW	20	6	12	50.0	1	5	20.0	0	0	0.0	0	0	0.0	1	3	33.3	3	7	42.9
Alex Caruso	LAL	27	54	92	58.7	10	27	37.0	9	25	36.0	5	19	26.3	30	82	36.6	25	58	43.1
Alex Len	WAS	28	140	187	74.9	20	51	39.2	3	13	23.1	0	2	0.0	6	18	33.3	2	7	28.6
Alfonzo McKinnie	LAL	28	25	37	67.6	2	6	33.3	2	5	40.0	0	2	0.0	14	24	58.3	5	18	27.8
Alize Johnson	BKN	25	27	38	71.1	7	17	41.2	5	7	71.4	0	0	0.0	0	2	0.0	1	4	25.0
Amida Brimah	IND	27	5	6	83.3	0	2	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
Amir Coffey	LAC	24	17	29	58.6	1	8	12.5	2	4	50.0	2	6	33.3	13	25	52.0	10	31	32.3
Anderson Varejao	CLE	38	2	7	28.6	0	2	0.0	0	2	0.0	2	4	50.0	0	1	0.0	0	0	0.0
Andre Drummond	LAL	27	228	428	53.3	51	117	43.6	3	15	20.0	0	3	0.0	0	3	0.0	0	5	0.0
Andre Iguodala	MIA	37	27	43	62.8	3	6	50.0	2	8	25.0	1	4	25.0	39	112	34.8	23	68	33.8
Andre Roberson	BKN	29	1	6	16.7	0	0	0.0	0	0	0.0	0	0	0.0	0	4	0.0	1	4	25.0
Andrew Wiggins	GSW	26	215	326	66.0	52	113	46.0	40	100	40.0	43	108	39.8	62	167	37.1	92	237	38.8
Anfernee Simons	POR	22	21	46	45.7	9	30	30.0	3	13	23.1	10	19	52.6	51	99	51.5	74	191	38.7
Anthony Davis	LAL	28	135	188	71.8	49	86	57.0	55	124	44.4	33	97	34.0	15	46	32.6	14	69	20.3
Anthony Edwards	MIN	19	262	454	57.7	33	91	36.3	15	48	31.3	14	76	18.4	72	199	36.2	109	333	32.7
Anthony Gill	WAS	28	19	27	70.4	4	8	50.0	0	0	0.0	0	0	0.0	2	13	15.4	5	12	41.7
Anthony Lamb	HOU	23	21	43	48.8	2	4	50.0	0	0	0.0	0	0	0.0	9	24	37.5	14	46	30.4
Anthony Tolliver	PHI	36	0	1	0.0	0	1	0.0	0	0	0.0	0	0	0.0	2	5	40.0	2	10	20.0
Anzejs Pasecniks	WAS	25	0	0	0.0	0	0	0.0	0	0	0.0	-	-	-	0	0	0.0	0	1	0.0
Armoni Brooks	HOU	23	15	27	55.6	2	3	66.7	1	5	20.0	0	0	0.0	18	40	45.0	39	109	35.8
Aron Baynes	TOR	34	86	147	58.5	9	25	36.0	7	16	43.8	3	7	42.9	8	37	21.6	21	72	29.2
