PLAYER	TEAM	AGE	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%	FGM	FGA	FG%
Aaron Gordon	DEN	26	282	395	71.4	23	65	35.4	20	59	33.9	18	48	37.5	47	137	34.3	44	126	34.9
Aaron Henry	PHI	22	1	1	100	0	1	0.0	0	2	0.0	0	0	0.0	0	0	0.0	0	1	0.0
Aaron Holiday	PHX	25	56	101	55.4	28	59	47.5	22	52	42.3	4	20	20.0	13	30	43.3	27	72	37.5
Aaron Nesmith	BOS	22	27	37	73.0	6	14	42.9	1	6	16.7	4	6	66.7	20	64	31.3	13	53	24.5
Aaron Wiggins	OKC	23	85	135	63.0	25	56	44.6	3	6	50.0	1	2	50.0	24	68	35.3	18	70	25.7
Abdel Nader	PHX	28	8	16	50.0	0	5	0.0	0	0	0.0	0	0	0.0	1	5	20.0	3	7	42.9
Ade Murkey	SAC	24	0	0	0.0	0	0	0.0	0	0	0.0	-	-	-	0	0	0.0	-	-	-
Admiral Schofield	ORL	25	16	32	50.0	9	14	64.3	1	2	50.0	1	1	100	13	42	31.0	14	36	38.9
Ahmad Caver	IND	25	1	1	100	-	-	-	0	0	0.0	0	0	0.0	-	-	-	-	-	-
Al Horford	BOS	36	101	145	69.7	46	91	50.5	17	34	50.0	12	26	46.2	41	104	39.4	49	169	29.0
Alec Burks	NYK	30	56	133	42.1	25	78	32.1	25	72	34.7	18	42	42.9	68	166	41.0	93	236	39.4
Aleem Ford	ORL	24	3	3	100	1	2	50.0	0	0	0.0	0	0	0.0	1	7	14.3	1	8	12.5
Aleksej Pokusevski	OKC	20	90	148	60.8	21	56	37.5	8	25	32.0	10	24	41.7	19	65	29.2	38	137	27.7
Alex Caruso	CHI	28	42	82	51.2	9	21	42.9	4	9	44.4	5	16	31.3	24	65	36.9	18	60	30.0
Alex Len	SAC	29	65	96	67.7	13	36	36.1	10	22	45.5	0	1	0.0	4	14	28.6	2	7	28.6
Alfonzo McKinnie	CHI	29	12	22	54.5	1	3	33.3	0	4	0.0	2	3	66.7	5	14	35.7	4	15	26.7
Alize Johnson	NOP	26	14	27	51.9	2	6	33.3	1	2	50.0	0	0	0.0	0	2	0.0	0	1	0.0
Alperen Sengun	HOU	19	188	314	59.9	23	67	34.3	6	20	30.0	2	5	40.0	4	15	26.7	26	97	26.8
Amir Coffey	LAC	25	82	123	66.7	13	32	40.6	11	29	37.9	9	27	33.3	40	105	38.1	55	147	37.4
Andre Drummond	BKN	28	222	374	59.4	23	46	50.0	2	8	25.0	0	1	0.0	0	1	0.0	0	0	0.0
Andre Iguodala	GSW	38	26	35	74.3	1	4	25.0	0	3	0.0	2	3	66.7	9	36	25.0	8	36	22.2
Andrew Wiggins	GSW	27	178	263	67.7	63	148	42.6	31	81	38.3	37	105	35.2	75	176	42.6	91	245	37.1
Anfernee Simons	POR	23	67	122	54.9	30	62	48.4	34	73	46.6	31	64	48.4	47	133	35.3	140	326	42.9
Anthony Davis	LAL	29	243	327	74.3	29	68	42.6	26	81	32.1	49	120	40.8	14	42	33.3	9	57	15.8
Anthony Edwards	MIN	20	265	443	59.8	23	70	32.9	19	53	35.8	18	55	32.7	75	227	33.0	147	390	37.7
Anthony Gill	WAS	29	34	54	63.0	13	27	48.1	1	2	50.0	0	0	0.0	8	13	61.5	6	13	46.2
Anthony Lamb	HOU	24	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	2	0.0
Armoni Brooks	TOR	24	19	29	65.5	4	5	80.0	0	3	0.0	0	0	0.0	16	56	28.6	57	189	30.2
Arnoldas Kulboka	CHA	24	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	1	0.0	0	0	0.0
Austin Reaves	LAL	24	61	87	70.1	17	30	56.7	11	17	64.7	4	13	30.8	21	70	30.0	30	91	33.0
Austin Rivers	DEN	29	55	82	67.1	11	27	40.7	1	6	16.7	0	4	0.0	52	122	42.6	27	108	25.0
Avery Bradley	LAL	31	36	65	55.4	2	15	13.3	12	24	50.0	12	28	42.9	57	138	41.3	29	79	36.7
Ayo Dosunmu	CHI	22	145	223	65.0	16	36	44.4	19	38	50.0	23	43	53.5	56	135	41.5	18	59	30.5
BJ Johnson	ORL	26	2	6	33.3	0	1	0.0	2	3	66.7	1	2	50.0	3	7	42.9	3	5	60.0
Bam Adebayo	MIA	24	258	364	70.9	70	152	46.1	52	126	41.3	21	72	29.2	5	9	55.6	0	3	0.0
Ben McLemore	POR	29	40	61	65.6	1	6	16.7	1	3	33.3	7	23	30.4	106	217	48.8	59	219	26.9
Bismack Biyombo	PHX	29	69	96	71.9	14	36	38.9	3	12	25.0	0	1	0.0	0	0	0.0	0	0	0.0
Blake Griffin	BKN	33	81	136	59.6	9	17	52.9	3	10	30.0	2	4	50.0	17	61	27.9	21	83	25.3
Boban Marjanovic	DAL	33	22	32	68.8	12	20	60.0	5	12	41.7	2	2	100	1	2	50.0	0	2	0.0
Bobby Portis	MIL	27	145	242	59.9	58	110	52.7	41	97	42.3	32	67	47.8	69	165	41.8	71	185	38.4
Bogdan Bogdanovic	ATL	29	70	123	56.9	26	58	44.8	42	80	52.5	22	45	48.9	87	202	43.1	95	279	34.1
Bojan Bogdanovic	UTA	33	150	230	65.2	55	139	39.6	30	73	41.1	5	14	35.7	97	238	40.8	85	233	36.5
Bol Bol	ORL	22	9	10	90.0	2	3	66.7	3	8	37.5	0	2	0.0	0	1	0.0	1	3	33.3
Bones Hyland	DEN	21	61	105	58.1	9	39	23.1	11	29	37.9	17	39	43.6	25	76	32.9	100	264	37.9
Brad Wanamaker	WAS	32	10	25	40.0	4	7	57.1	3	10	30.0	7	11	63.6	0	12	0.0	4	11	36.4
Bradley Beal	WAS	29	145	232	62.5	40	114	35.1	49	102	48.0	44	98	44.9	31	86	36.0	39	137	28.5
Brandon Boston Jr.	LAC	20	56	105	53.3	2	20	10.0	14	29	48.3	16	47	34.0	16	48	33.3	21	71	29.6
Brandon Clarke	MEM	25	196	259	75.7	59	107	55.1	23	50	46.0	5	7	71.4	4	20	20.0	1	4	25.0
Brandon Goodwin	CLE	26	29	50	58.0	8	22	36.4	6	17	35.3	2	8	25.0	7	20	35.0	12	33	36.4
Brandon Ingram	NOP	24	121	197	61.4	38	91	41.8	101	199	50.8	96	223	43.0	47	110	42.7	48	159	30.2
